id,last_modified,lon,lat,name,description,poi_type
016,12/10/2023,13.1325832,42.7956995,"sp 477 Norcia-Castelluccio
",bellissima direttrice fra Norcia e uno degli spettacoli più affascinanti d'Italia tutta da guidare. se aperta a causa delle frane            0001,roads-to-drive
017,12/10/2023,10.9604569,44.2241955,"sp 623 Bocca dei Ravari-Gaggio Montano
",001,roads-to-drive
018,12/10/2023,13.7565482,41.7304921,"sr 50 Sora-Opi
",scorrevole e sportiva                vedi com'è su https://www.facebook.com/carlokiddonannini/videos/535027508368417/?idorvanity=745577899720215   kiddo,roads-to-drive
019,12/10/2023,11.6181113,43.8667717,"SS Stia-Londa
",la mitica Croce ai Mori.. Bellissima. veloce. non perdona chi non sa guidare bene. Un esame di guida                           Kiddo,roads-to-drive
020,12/10/2023,11.6856542,43.9342535,"SP9ter Premilcuore- Muraglione
",molto bella. in alcuni tratti con asfalto non perfetto. attenzione agli aghi di pino. Comunque. una vera libidine per gli amanti delle pieghe     Kiddo,roads-to-drive
021,12/10/2023,11.9395427,43.5848372,"sp 57 Falciano-Ponte alla Piera
",001,roads-to-drive
022,12/10/2023,10.3529708,44.1472429,"sr 445 Piazza al Serchio-Castelnuovo Garfagnana
",non molto scorrevole ma molto bella. in questo punto bivio per lago di vagli. da vedere                                         001,roads-to-drive
023,12/10/2023,11.9152188,43.8160823,"sr 71 Bagno Romagna-Badia Prataglia
",Bellissima. impegnativa. panoramica 001,roads-to-drive
024,12/10/2023,11.6371386,43.9318791,SS67 Muraglione-Dicomano,una strada di culto. sul lato toscano. La diatriba se sia meglio la parte toscana o quella romagnola del muraglione è una di quelle che divide come guelfi e ghibellini. honda o yamaha. cazzo o cazzotti. A voi l'ardua sentenza                Kiddo,roads-to-drive
025,12/10/2023,11.7794244,43.8988577,"SS 310 santa Sofia-Campigna
",stupendo tratto da guidare e panoramico. semplicemente . una poesia   001,roads-to-drive
026,12/10/2023,10.7975345,43.1623987,sp49 Lago Boracifero-Lustignano,dal temibile ponte sul Cornia. dove ti chiedi cosa succede se viene tanta acqua in direzione Lustignano. dove diventa una delle più belle strade della Toscana. Insospettabile                           Kiddo,roads-to-drive
027,12/10/2023,11.270854,43.9715208,Lungolago Bilancino,spesso dal fondo non eccezionale. è l'asfaltatura di una strada di servizio che segue il profilo del lago. più che frutto del disegno di un ingegnere. per cui difficilmente prevedibile. D'estate offre alcuni buoni punti per un tuffo nel lago. Carina. dai.                      kiddo,roads-to-drive
028,12/10/2023,11.0160461,44.0086165,SP24 Pistoia-Lentula,Stupenda strada che collega Pistoia alla zona dei laghi si suviana e Brasimone. aperta e velocissima nel primo tratto con tratti panoramici anche molto belli. poi attraverso la riserva dell'Acquerino più chiusa ma affascinante. la riserva merita una sosta.              Kiddo                 vedi il punto panoramico del Picco del Lupo!                https://www.facebook.com/luca.ruggeri3/videos/611098980413866/?idorvanity=745577899720215 ,roads-to-drive
029,12/10/2023,10.2749876,44.0598132,SP 13 Dal Cipollaio a Castelnuovo Garfagnana,Uno dei casi in cui non sai se goderti la strada o fermarti ogni cento metri. Tutta bellissima e da guidare (i tornanti del Pian della Fioba sono vera poesia) fino a Catelnuovo Garfagnana        Kiddo,roads-to-drive
030,12/10/2023,10.4271103441715,44.1960199319958,SP 72 Radici-Castiglione Garfagnana,veloce e  spettacolare 001,roads-to-drive
031,12/10/2023,11.3533146,43.9144935,"SR 302 Valico Olmo-Borgo s.Lorenzo
",faentina verso il Mugello. belloccia ma molto trafficata 001,roads-to-drive
032,12/10/2023,11.8602442,43.7715102,SR 71 Soci-Badia Prataglia,bellissima da Soci a Badia Prataglia con tratti memorabili. tenete la destra!   001,roads-to-drive
033,12/10/2023,11.7931808,43.7828531,"SP 67 Poppi-Camaldoli
",prima veloce e aperta poi più stretta. Molto tecnica. okkio allo sporco.  001,roads-to-drive
034,12/10/2023,11.6879504,43.981648,"SS 67 Portico Romagna-Muraglione
",la strada del Muraglione lato Romagnolo. molto probabilmente più bella   0001,roads-to-drive
035,12/10/2023,11.3895444,44.06597,"SP 503 Giogo-Firenzuola
",stupenda come l'altra parte. Alcune curve sono traditrici. Sul circuito stradale del Mugello      001 ,roads-to-drive
036,12/10/2023,11.1176695302129,44.128762421346,SP 62 Castiglione dei Pepoli-Brasimone,molto bella anche se un po' scassata. bellissimo il passaggio sulla diga                             kiddo,roads-to-drive
037,12/10/2023,11.0509898141026,44.1331659745816,SP 40 Suviana-Brasimone,Una cavalcata sul toro meccanico                           001,roads-to-drive
038,12/10/2023,11.6245450079441,43.7430843116006,SP 70 Consuma-Castel s.Niccolò,molto scorrevole con curve ampie. Aperta nella parte alta. bosco verso il Casentino. Vale una sosta il Castello di Montemignaio     001,roads-to-drive
039,12/10/2023,11.7491254,43.8392458,"SS 310 Stia-Passo della Calla
",,roads-to-drive
040,12/10/2023,10.9728208,44.1181758,"SP 632 Pracchia-Ponte alla venturina
",secondo gli amanti del supermotard. una delle strade più belle mai costruite. forse eccessivo. anche perché si sciupa molto e se trovi una macchina rischi di tatuarla sul cupolino. però effettivamente belloccia.                                                                  kiddo,roads-to-drive
041,12/10/2023,11.2895984575152,44.2686604990206,pistino di Monzuno,da Loiano a Monzuno. Un ottovolante di pieghe e tornanti spettacolare!              Kiddo,roads-to-drive
042,12/10/2023,11.4692313596606,44.1649150655027,Montanara Imolese,Strada bellissima che costeggia il Torrente Santerno da Firenzuola a Imola (bellissima però solo fino a Castel del Rio). Occhio ai fenomeni e smanettoni e d'estate a non distrarsi per buttare un occhio alle bagnanti in bikini. In questo punto parcheggio per accesso a pozze balneabili           Kiddo,roads-to-drive
043,12/10/2023,11.3948372751474,44.1775864516283,Carburaccia,Da Firenzuola a Piancaldoli. Un Bignami di strade da guidare: dal tornante da pelo ai curvoni. dai cavatappi ai salti se non rimettono l'asfalto in alcuni punti. Una validissima alternativa per la salita alla Raticosa             Kiddo,roads-to-drive
044,12/10/2023,11.4800383150578,44.1482218215139,SP Faggiola,prima larga e da piegoni. poi stretta. sporca e tecnica. panorami spettacolari <br>001,roads-to-drive
045,12/10/2023,11.497801579535,44.075179511577,SP 477 Sambuca,semplicemente. la più bella strada del mondo,roads-to-drive
046,12/10/2023,11.5120984241366,44.0393028531783,S.R. 302 Colla-Marradi,,roads-to-drive
047,12/10/2023,11.6484786942601,43.4152395981193,SP 19 s.Pancrazio,carina e isolata. bella da guidare                                 kiddo,roads-to-drive
048,12/10/2023,10.7352143526077,43.9475328778903,Vellano-Macchino,celeberrimo tratto immerso nel bosco della Svizzera pesciatina con punti di eccezionale veduta sulla sottostante Val di Forfora. famoso anche per aver ospitato una prova del campionato velocità in salita su strada.   Kiddo                 vedilo su https://www.facebook.com/carlokiddonannini/videos/997377644473728/?idorvanity=745577899720215,roads-to-drive
049,12/10/2023,10.6325688,43.9835178,"Bagni di Lucca-Villa Basilica
",Un Bignami delle strade da guidare: parte tortuosa e stretta per raggiungere Benabbio. deliziosa località dove si fa lo slalom nella piazza del paese. per poi diventare belle e guidabile in prossimità del Passo del trebbio e poi affascinante quando si attraversa la parte vicino a Villa Basilica con le cartiere antiche e abbandonate. Molto bella. Roba da intenditori.  Kiddo,roads-to-drive
050,12/10/2023,10.7714798,44.0262651,"Prunetta-La Lima
",il tratto ha sempre un perché. su strada divertente e godibile. Sono strade di montagna. da fare principalmente con la bella stagione.                kiddo,roads-to-drive
051,12/10/2023,10.7855755090714,44.2279646415459,Sestola-Fanano,001,roads-to-drive
052,12/10/2023,10.8545123040676,44.2227747962981,Fanano-Vidiciatico,Molto bella come tracciato. il fondo a volte è sciupato e l'asfalto ad alta aderenza è rappezzato.       Kiddo,roads-to-drive
053,12/10/2023,10.7255952805281,44.1217380515945,"La Lima-Abetone
",Tratto da antologia della strad dell'Abetone e del Brennero. con tratti spettacolari. Molto frequentata e quindo controllata dalla forze dell'ordine ma bellissima. Le alternative ci sono se guardate altri wuppini nelle vicinanze          Kiddo,roads-to-drive
054,12/10/2023,11.1019383743405,44.2901468559575,sp 25 Vergato Cereglio,un must dello smanettone verso Bocca dei Ravari. con bei tornanti. Nei paesi ricordate di rallentare              Kiddo,roads-to-drive
055,12/10/2023,11.1543772369623,44.2578862792319,sp 24 Rioveggio-Vergato,bella. veloce. semideserta<br>001,roads-to-drive
056,12/10/2023,11.0802218690515,44.0768826905488,Lentula-Luicciana,carina. da motard<br>001,roads-to-drive
057,12/10/2023,10.9875022619963,43.9903280900653,sp 24 Pistoia-Acquerino,in questo punto. deviazione su strade sterrate infinite nella riserva dell'Acquerino. buona esplorazione <br>kiddo,roads-to-drive
058,12/10/2023,10.3158596903086,44.297863386696,via Pradarena,tecnica e bellina<br>001,roads-to-drive
059,12/10/2023,11.3392548635602,44.1221435994796,covigliaio-Firenzuola,001,roads-to-drive
060,12/10/2023,11.3976830989122,43.6472322254311,sp 56 poggio alla croce,,roads-to-drive
061,12/10/2023,11.311432980001,43.6290407507112,sr 222 chiantigiana,Tutta bellissima fino a Siena. anche se molto trafficata                                                                     001,roads-to-drive
062,12/10/2023,11.2733456119895,43.578897631423,sp 118 quattro strade-Panzano,per intenditori <br>001,roads-to-drive
063,12/10/2023,11.3420282676816,43.6338958596447,Strada di Cintoia,bivio per castello di Cintoia. da vedere. strada stretta ma molto bella e tecnica. in questo tratto può essere scivolosa.       Kiddo,roads-to-drive
064,12/10/2023,11.3289511576295,43.5045116683688,Panzano-Radda,bella e veloce. una ghiacciaia d'inverno. <br>001,roads-to-drive
065,12/10/2023,11.9877583533525,43.6957085448116,"semplicemente LO SPINO
c'è da aggiungere altro?! usare con cautela",,roads-to-drive
066,12/10/2023,11.9591998681426,43.7285372712292,Badia Prataglia-Chiusi della Verna,molto bella. spesso scassata verso Chiusi<br>001,roads-to-drive
067,12/10/2023,11.2443419,44.030467,"Militare di Barberino per Montecarelli
",conosciuta anche come la 100 curve                      001,roads-to-drive
068,12/10/2023,11.2635251,44.0265476,"SR 65 Maschere-Futa
",una delle strade da antologia del motociclismo. Tropp frequentata nei fine settimana. questo tratto è famoso per il cavatappi in contropendenza                                                    001,roads-to-drive
069,12/10/2023,11.8221337,44.1401956,"sp 21 Modigliana-Dovadola
",fuori dalle comuni rotte dello smanettone domenicale. molto bella e panoramica                                                                     001,roads-to-drive
070,12/10/2023,11.5025289,43.4382192,"sp 73 Mercatale v.arno-San Gusmè
",via di collegamento fra senese e valdarno. bella e panoramica                                                                   Vedi com'è la strada e l'abbocco della sterrata che porta a Montebenichi su https://www.facebook.com/carlokiddonannini/videos/674025797407063?idorvanity=745577899720215                                           Kiddo,roads-to-drive
071,12/10/2023,10.9260444,43.5307911,"poggio all'Aglione
",deviazione dalla volterrana verso Montaione e Corrazzano                                              ,roads-to-drive
072,12/10/2023,11.4589698,43.4159502,"sp 484 Gaiole- Castelnuovo Berardenga
",una delle più belle strade della Toscana. in questo punto inizia l'Eroica. percorso metà asfalto metà strade bianche. seguire i cartelli L'Eroica        vedi com'è su https://www.facebook.com/carlokiddonannini/videos/514658883422848/?idorvanity=745577899720215              kiddo,roads-to-drive
073,12/10/2023,11.1609066,44.0915883,"ss 325 Vaiano-Castiglione dei Pepoli
",trada di grande importanza e quindi molto trafficata. però bella. Da godere senza fretta                    001,roads-to-drive
074,12/10/2023,11.2523782,43.4952779,"sp 76 San Donato-Castellina
",bellissima e panoramica                                                                001,roads-to-drive
075,12/10/2023,11.2477492,43.4885363,"sp 429 Castellina-Poggibonsi
",stupenda. da veri manici. a tratti pericolosa. Usare con moderazione              Kiddo,roads-to-drive
076,12/10/2023,11.0117223,43.6388445,"sp 4 Volterrana
",dal Chianti fiorentino a Volterra. Lunga. epica. trafficata. veloce. attraversa diversi tratti abitati. Comunque sempre bella da percorrere                Kiddo,roads-to-drive
077,12/10/2023,11.3056849,43.3985649,"sr 222 chiantigiana (2)
",bellissima. da Firenze a Siena. Molto frequentata ma sicuramente tutta da godere                   001,roads-to-drive
078,12/10/2023,11.562495,43.6201607,"sp 1 Setteponti
",una delle strade più belle ma meno considerate della Toscana. molto trafficata                 kiddo,roads-to-drive
079,12/10/2023,11.6853717,43.6191317,"panoramica del Pratomagno
",una strada di Montagna che percorre tutto il Pratomagno. Spesso chiusa per neve                   001,roads-to-drive
080,12/10/2023,11.6621649,43.781649,"sr 70 Consuma-Poppi
",tanto emozionante quanto trafficata             001,roads-to-drive
081,12/10/2023,11.725035,43.5912718,"Gello-Talla
",no. bella è bella....                   001,roads-to-drive
082,12/10/2023,12.0909577,43.6925778,"Sestinese S.Stefano-Viamaggio
",bella e veloce. tutta da guidare almeno fino a Badia Tedalda                   001,roads-to-drive
083,12/10/2023,10.5556763336062,44.1908440991118,sp 324 pievepelago-Radici,c'è di tutto: dal tecnico al veloce. okkio ai velox<br>001,roads-to-drive
084,12/10/2023,10.3026468,44.1892858,"sp 14 la Sillano
",tratto da piazza al serchio a Sillano. teatro di gare in salita. Molto bella soprattutto in alto                  001,roads-to-drive
085,12/10/2023,10.4631887,44.3166034,"sp 9 Piandelagotti- Villa Minozzo
",Una via per l'Emilia dall'alta Toscana                           001,roads-to-drive
086,12/10/2023,10.9113554,43.8523728,"San Baronto
",la sp  che attraversa s.Baronto e arriva fino a Vinci. doce si trova la casa natale e il museo (molto bello e interessante) dedicato a Leonardo. é un'ottima via di comunicazione verso l'empolese e l'area di san Miniato. località deliziosa che vale una sosta             0001,roads-to-drive
087,12/10/2023,10.8878319,43.4833449,"sp 4 volterrana 2
",La volterrana più veloce. godibile e scorrevole. adatta a far sfogare i cavalli                 001,roads-to-drive
088,12/10/2023,10.9525177,43.4417817,"Cornocchio dal Castagno a Castel s.Gimignano
",piacevole collegamento dal fondo sporco in autunno a causa dei lecci. con alcuni scorci su Volterra         0001,roads-to-drive
089,12/10/2023,10.9065494,43.3861872,"sr 68 Saline-Volterra-Colle v.Elsa
",una delle più belle strade al mondo. sia per panorama che per guida. con la celebre scultura tonda di Staccioli. Spettacolare. Da Saline al mare anche no             001,roads-to-drive
090,12/10/2023,11.0270128,43.4554013,"sp 47 S.Gimignano-Castel s. Gimignano
","nota anche come ""il piccolo Nurbruring"". stupenda e veloce. Fare attenzione col bagnato diventa scivolosa. Non esagerare. Se pensate di essere il bastardo più veloce del pianeta. troverete qualcuno più scemo di voi che vi svernicerà. perché viene usata come una pista.                     001",roads-to-drive
091,12/10/2023,10.572671,43.3955785,"sp 13 casciana-Castellina m.ma- Riparbella
",Il profumo del mare che sale fino alla collina. Bella ma non sempre ben mantenuta                       kiddo,roads-to-drive
092,12/10/2023,10.8649127,43.546538,Castelfalfi,da Montaione verso il pisano. Scorrevole e godibile                                      001,roads-to-drive
093,12/10/2023,10.6306731,43.4660992,"sp 48 Terricciola-castellina M.ma
",poco conosciuta e bellissima. tornanti da antologia                                                            001,roads-to-drive
094,12/10/2023,10.6564871,43.4291391,"sp 14 di Miemo
",La Sterza-casino di terra. Tecnica e molto divertente. bella lunga. asfalto non sempre entusiasmante. praticamente deserta. okkio perché ti misura                                                               Kiddo,roads-to-drive
095,12/10/2023,11.2122975,43.1421268,"strade delle Pinete
",da Monticiano a san Lorenzo a Merse.   curve. pinete. pieghe. bellezza...                                               001,roads-to-drive
096,12/10/2023,10.887781,43.145636,"sr 439 Saline-Massa M.ma
",veramente stupenda nel tratto da titolo. sia per panorami che per guida. per il resto quasi trascurabile.                                      001,roads-to-drive
097,12/10/2023,10.6558665,43.3002455,"Montescudaio-Guardistallo-Ponteginori
",dal mare all'interno                                  001,roads-to-drive
098,12/10/2023,10.7840369,43.285174,Micciano,una vera perla. più che una strada. In questo punto panorama stupendo. Da vedere anche il paese di Libbiano. quì a destra. ma con strada senza sfondo                                                  Kiddo,roads-to-drive
099,12/10/2023,10.7971925,43.2111886,sp 32 passo di Bocca di Valle,Castagneto Carducci-Larderello. bellissima. scorrevole e quasi sempre semideserta. Da Serrazzano a Larderello memorabile <br>Kiddo,roads-to-drive
100,12/10/2023,11.1756594,43.327959,"sp 101 Montemaggio
",un viaggio magico attraverso la Montagnola senese. da percorrere con calma incantandosi fra tufo e lecci.                                    Kiddo,roads-to-drive
101,12/10/2023,11.0570077,43.2991932,"Casole-Mensano
",bellissima ma soggetta a frane.                                   001,roads-to-drive
102,12/10/2023,10.9930858,43.381243,"sp 52 verso Casole d'Elsa
",tortuosa e spesso sciupata. però spettacolare                         001,roads-to-drive
103,12/10/2023,10.983792,43.2705565,"sp 27 Monteguidi-Montecastelli pisano
",immersa nel bosco. selvaggia e poco trafficata ottimo collegamento in direzione Volterra                                            001,roads-to-drive
104,12/10/2023,11.0542413,43.2398354,"Le Galleraie. 
",dal Pian della Speranza a Montieri. semplicemente stupenda. un condensato di curve. panorami. emozioni di guida. ottimo e veloce collegamento col mare                                    001,roads-to-drive
105,12/10/2023,10.9805377,43.131297,"sp Pavone
",degno proseguimento de Le Galleraie da Montieri fino a Massa M.ma. A volte c'è un po' di brecciolino ai lati ma di solito. fuori dal periodo delle transumanze estive. quando diventa una direttrice importante dal mare verso Siena. è una libidine di curve da pennellare. Attenzione anche agli animali all'imbrunire. Io sono stato centrato da un capriolo e non so quale santo mi abbia tenuto in sella.                                        Kiddo,roads-to-drive
106,12/10/2023,11.0924307,43.1422854,"sp 441 gabellino-s.galgano
",Fra il Gabellino e san Galgano. Più che una strada. un monumento. fin troppo veloce e trafficata in estate. però. semplicemente. stupenda per tracciato e divertimento                                   kiddo,roads-to-drive
107,12/10/2023,11.0344014,43.1178352,"Montieri-Prata
",Bellissimo tagio fra le due direttrici per il mare. ovvero Colle v. d'elsa-Prata oppure colle-Montieri- Massa m.Ma. Questo pezzetto serve da collegamento fra le due. Un toboga di 10km                                                                          Kiddo,roads-to-drive
108,12/10/2023,11.0634691,42.9963342,"strada di Montemassi
",tutta da guidare                                               001,roads-to-drive
109,12/10/2023,11.2670028582215,44.1076386584052,sp 59 Bruscoli-Futa,vedila su https://www.facebook.com/carlokiddonannini/videos/1435614876841089/?idorvanity=745577899720215,roads-to-drive
110,12/10/2023,11.5136980265379,43.2539665808805,Asciano- Arbia,veramente spettacolare. cavalcare onde verdi dondolandosi fra curve dolci dove danzare. poesia in moto<br><br>001,roads-to-drive
111,12/10/2023,11.1500858,43.2080229,"Frosini (Rosìa-Monticiano-Roccastrada)
",Una spettacolare traversa della Toscana tutta bella. eccezionale nel tratto indicato. perfetta per una Siena-Grosseto alternativa                                 kiddo,roads-to-drive
112,12/10/2023,11.5481198206544,43.1787880139089,Asciano-Buonconvento,una full immersion nei paesaggi senesi<br><br>001,roads-to-drive
113,12/10/2023,10.7858261,43.1327134,"sp 398 Montioni-Monterotondo
",bella strada immersa nella macchia mediterranea tutta da guidare                                      001,roads-to-drive
114,12/10/2023,11.6205283999443,43.188797621808,Asciano- Trequanda,001,roads-to-drive
115,12/10/2023,11.545023880899,42.9797036170779,sp 55 Monte Amiata-Montalcino,spettacolare la salita fino a Castelnuovo Abate. poi veloce ma meno bella<br><br>001,roads-to-drive
116,12/10/2023,11.4621929079294,43.0030315701354,s.Angelo in Colle-Montalcino,Molto veloce e aperta. con un tratto che. salendo verso Montalcino. è veramente spettacolare e panoramico.               Kiddo,roads-to-drive
117,12/10/2023,11.7352087,43.0629037,"sp 88 Monticchiello
",i celeberrimi tornanti di Monticchiello. Praticamente una strada-monumento                               Kiddo,roads-to-drive
118,12/10/2023,11.3532345369458,42.8480339947504,sp Voltina Granaione-Cinigiano,001,roads-to-drive
119,12/10/2023,11.404170691967,42.8932181740526,sp 7 cinigianese. Sasso d'Ombrone-Arcidosso,001,roads-to-drive
120,12/10/2023,10.6638961,43.0874129,"Suvereto-Sassetta
",un toboga. la vera strada disegnata dal ciuco. okkio ai trattori perché dalle numerose fattorie escono senza guardare troppo (è molto poco trafficata) e portano terra in strada: il fondo si può sporcare molto                                      001,roads-to-drive
121,12/10/2023,11.392389,42.7276421,"ss323 Magliano-s.Quirico d'Orcia
",dal grossetano alla Val d'Orcia su alcuni tratti memorabili. Veramente spettacolare                001,roads-to-drive
122,12/10/2023,11.7008285,42.7655029,"SP Pitigliano-Santafiora
",molto bella ma sciupata. con tratti di una bellezza commovente                              001           ,roads-to-drive
123,12/10/2023,11.6624182,42.6308163,"sr 74 Albinia-Pitigliano
",Un'immersione nella Toscana etrusca. con punti commoventi. Gassss. curtura e punti panoramici incredibili.     In questo punto. panorama spettacolare su Pitigliano                 Kiddo,roads-to-drive
124,12/10/2023,12.0308274,43.2866147,"sp 34 Cortona-Umbertide
",poco trafficta e immersa nel verde                       001,roads-to-drive
125,12/10/2023,12.0184158,43.3932886,"strada della Rassinata
",molto bellina. a tratti stretta in altri panoramica                     001,roads-to-drive
126,12/10/2023,11.8949912,43.3922283,"Rigutino
",più che una strada. un'Avventura. però bellina                      001,roads-to-drive
127,12/10/2023,12.0453686,43.7752566,"Balze
",strada carina. con dei momenti spettacolari quando si passa fra le balze. ovvero le formazioni di terra lunari. Da seguire assolutamente fino a loc Le Balze e poi salire al Fumaiolo. un'esperienza unica!        K,roads-to-drive
128,12/10/2023,12.1742502,43.7105236,"Marecchia
",da Rimini a s.sepolcro. velocissima e pericolosa. non sempre bellissima ma sicuramente un'icona.  ideale per smanettoni             001,roads-to-drive
129,12/10/2023,12.0981074,43.7486014,"sp 67 Pratieghi
",da le Balze al Viamaggio. tutta l'area è il paradiso della supersportiva. Strade belle e fin troppo veloci             001,roads-to-drive
130,12/10/2023,8.5713912,44.3794734,SP 30 EREMO DEL DESERTO,Dal cuore di varazze di arriva fino alle pendici del Monte Beigua attraversando un microclima semidesertico. strada poco frequentata. belle curve ma asfalto non perfetto. by Claudio Garombo,roads-to-drive
131,12/10/2023,8.6822389,44.4816941,SP73 PIAN DEL FAIALLO,La più bella strada della Liguria. un panorama magnifico dove da una montagna che ricorda quasi il trentino ci si può specchiere nel blu del mare. Strada tutta da guidare con buon asfalto anche in inverno. attenzione a vento e nebbia. Panorama fantastico Claudio Garombo,roads-to-drive
132,12/10/2023,8.7913421,44.5257655,SP167 capanne di marcarolo,Paesaggio semi montano davvero splendido. possibile avvistare asini allo stato semi brado. caprioli e cavalli. by Claudio Garombo,roads-to-drive
133,12/10/2023,8.7394197,44.4680062,SP456 del Turchino,Punto di ritrovo di tutti i motociclisti genovesi. una strada tutta a curve e da guidare facendo molta attenzione ai numerosi centri abitati. ai velox. alle curve cieche e all' asfalto non sempre perfetto. E' l'mbocco ideale per il passo del Turchino e punto di accesso per innumerevoli giri partendo dalla liguria. by  Claudio Garombo,roads-to-drive
134,12/10/2023,8.6377052,44.5549466,"SP64 detta ""Di Tiglieto""",Altra strada famosa tra i motociclisti liguri e piemontesi. una vera goduria per chi ama il guidato misto con continue curve e contro curve con un asfalto davvero bello con un ottimo grip. anche il paesaggio è molto bello. by Claudio Garombo,roads-to-drive
135,12/10/2023,8.8242385,44.6141968,Via Morosone,Punto di accesso o sbocco (a seconda di dove si arriva) delle Capanne di morcarolo. Strada stretta e bordo fiume molto suggestiva. by Claudio Garombo,roads-to-drive
136,12/10/2023,8.5947469,44.5304923,SP76,strada che costeggia il fiume.la Badia di Tiglieto e il vecchio ponte. by Claudio Garombo,roads-to-drive
137,12/10/2023,8.5209898,44.4959396,SP49 ,Strada tutta a curve dal panorama cangiante dal boschivo al montano con splendidi scorci su gole. laghi. divertente e bella in entrabe le direzioni. Fondo non perfetto. By Claudio Garombo,roads-to-drive
138,12/10/2023,8.4542135,44.645621,SP210 Acqui Terme Sassello.,Come si evince dal nome questa strada da il meglio di se percorrendola sulla direttiva nord sud. guidato molto bello. con paesaggio che via via va dal collinare al montuoso. Per un giro tutto curve segnatevi questo waypoint! by Claudio Garombo,roads-to-drive
139,12/10/2023,8.4595489,44.5888765,SP210 Acqui Terme Sassello,Secondo waypoint sulla direttiva nord sud per questa splendida strada. by Claudio Garombo,roads-to-drive
140,12/10/2023,8.4976266,44.5550762,SP210 Acqui Terme - Sassello.,Terzo waypont sulla direttiva nord -sud by claudio garombo,roads-to-drive
141,12/10/2023,8.5359929,44.5047802,SP7 Acqui Terme - Sassello,Ultimo punto di passaggio sulla direttiva nord- sud di questo percorso. da qui si può proseguire a sinistra verso il pian del faiallo o a destra verso sassello. By Claudio Garombo,roads-to-drive
142,12/10/2023,8.4657252,44.3696966,SP2 di Ellera,Valida alternativa alla SP334. molto meno trafficata e con scorci davvero suggestivi sul lungo fiume. by Claudio Garombo,roads-to-drive
143,12/10/2023,8.4130739,44.3522161,naso di gatto,strada a curve e tornanti con tratti nel bosco e tratti di splendida vista sulla costa savonese. percorribile con tutte le moto. poco trafficata. divertente e guidata. by Claudio Garombo (Capt. Keep),roads-to-drive
