id,last_modified,code,poi_type,name,contact_email,contact_phone,related_url,capacity,description,address_complete,lat,lon
11,10/10/2022,923400501,wilderness-hut,Rifugio Di Marco - 1747 m,,+39 08554621,,8,"Sorge sul Prato della Majelletta, affacciato sul Vallone di Santo Spirito ",Prato della Majelletta,42.152222,14.098611
12,10/10/2022,923400203,wilderness-hut,Rifugio Panepucci - 1700 m,,,,18,Sorge sulle pendici settentrionali del M. San Franco,Valle del Paradiso,42.47534,13.40713
13,10/10/2022,923400403,wilderness-hut,Rifugio Diana e Tamara - 1779 m,sezione@caisulmona.it,,www.caisulmona.it,4,"Sito presso l'ampio spartiacque del Morrone,  tra Monte Mileto e Monte le Mucchia ",Mandra Castrata,42.0494,14.0752
14,10/10/2022,923401701,wilderness-hut,Rifugio del Pastore - 1703 m,cailanciano@gmail.com,,,18,"Sorge su un pianoro, sul versante sinistro del Vallone di Tarante",Vallone di Taranta,42.0338,14.1424
15,10/10/2022,923401801,wilderness-hut,Rifugio D'Arcangelo - 1655 m,claudio.distefano9@virgilio.it,+39 3382370447,www.caiisola.it,4,Sorge sul versante orientale del Monte Aquila,Vaduccio,42.4595,13.5923
16,10/10/2022,923400601,alpine-hut,Rifugio Fonte Vetica - 1632 m,,+39 0862 938138,,15,"Sorge al limitare orientale di Campo Imperatore, alle falde del Monte Camicia",Fonde Vaticano di Campo Imperatore,42.42385,13.74057
17,10/10/2022,923400801,wilderness-hut,Rifugio Tre Pozzetti - 1600 m,luigi.digiuseppe56@gmail.com,,www. caifarindola.it,6,Rifugio Sito in località Tre Pozzetti di Farindola sulla strada che sale da Rigopiano a Vado di Sole - Campo imperatore,Tre Pozzetti di Rigopiano ,42.242042,13.472493
18,10/10/2022,923400503,bivacco,Bivacco Barrasso - 1542 m,segreteria@caipescara.it,+39 08554621,,12,Sorge sul Prato della Corte al Monte Rapina,Prato della Corte,42.135833,14.060833
19,10/10/2022,923400602,wilderness-hut,Capanna Voltigno - 1430 m,,,,10,Sorge in bella posizione in località Pagliara,Pagliara,42.35817,13.80805
20,10/10/2022,923400504,wilderness-hut,Rifugio Di Donato - 1299 m,sgreteria@caipescara.it,+39 08554621,,12,Sorge nella faggeta della fonte di Lama Bianca,Riserva Lama Bianca,42.1027,14.03911
21,10/10/2022,923401901,wilderness-hut,Rifugio Femmina Morta - 1350 m,valleroveto@cai.it,,www.caivalleroveto.it,8,"Sorge lungo le pendici boscose del Monte Femmina Morta e del Monte Viglio, non distante dal confine laziale  ",Vallone di femmina Morta ,41.868427,13.373433
22,10/10/2022,923401302,wilderness-hut,Rifugio Fonte Tavoloni  - 1390 m,rifugiofontetavoloni@alice.it,,,12,Sorge sulle pendici meridionali della Magnola,Fonte Tavoloni,42.11983,13.48659
23,10/10/2022,923400603,wilderness-hut,Capanna Valle d'Angri - 789 m,,"+39 085823596, ",,6,Sorge in località Mortaio d'Angri ,Mortaio d'angri ,42.1876,13.979
24,10/10/2022,923400204,wilderness-hut,Rifugio Santa Pupa - 1277 m,,,,10,"Sorge sui pascoli in testata alla Valle Donica, presso il Fontanile di Santa Pupa  ",Pratelle Aia del Prete ,42.4723,13.2837
25,10/10/2022,923402501,wilderness-hut,Rifugio Coppo dell'Orso - 1870 m,,,,,,Coppo dell'Orso,41.82124,13.65293
26,10/10/2022,923400401,bivacco,Bivacco Pelino - 2793 m,sezione@caisulmona.it,,www.caisulmona.it,11,Sorge presso la vetta del Monte Amaro,Monte Amaro,42.086557,14.086006
